entity,total_occurrences,n_sections_touched_exp8,dominant_chapter_A,dominance_ratio_A,n_chapters_touched_A,dominant_chapter_B,dominance_ratio_B,n_chapters_touched_B,histogram_A,histogram_B
조선,11,9,A1_V1_조선의_성립,1.0,1,B1_V1_건국,0.7273,2,"{""A1_V1_조선의_성립"": 11, ""A2_V2_사림_세력의_성장"": 0, ""A3_V3_왜란과_호란의_극복"": 0, ""A4_VI1_붕당_정치와_탕평책"": 0}","{""B1_V1_건국"": 8, ""B2_V1_조선의_통치_제도"": 3, ""B3_V1_15세기_민족_문화의_발달"": 0, ""B4_V2_사림_세력의_성장"": 0, ""B5_V3_왜란과_호란의_극복"": 0, ""B6_VI1_붕당_정치와_탕평책"": 0}"
이성계,6,6,A1_V1_조선의_성립,1.0,1,B1_V1_건국,1.0,1,"{""A1_V1_조선의_성립"": 6, ""A2_V2_사림_세력의_성장"": 0, ""A3_V3_왜란과_호란의_극복"": 0, ""A4_VI1_붕당_정치와_탕평책"": 0}","{""B1_V1_건국"": 6, ""B2_V1_조선의_통치_제도"": 0, ""B3_V1_15세기_민족_문화의_발달"": 0, ""B4_V2_사림_세력의_성장"": 0, ""B5_V3_왜란과_호란의_극복"": 0, ""B6_VI1_붕당_정치와_탕평책"": 0}"
정도전,6,6,A1_V1_조선의_성립,1.0,1,B1_V1_건국,1.0,1,"{""A1_V1_조선의_성립"": 6, ""A2_V2_사림_세력의_성장"": 0, ""A3_V3_왜란과_호란의_극복"": 0, ""A4_VI1_붕당_정치와_탕평책"": 0}","{""B1_V1_건국"": 6, ""B2_V1_조선의_통치_제도"": 0, ""B3_V1_15세기_민족_문화의_발달"": 0, ""B4_V2_사림_세력의_성장"": 0, ""B5_V3_왜란과_호란의_극복"": 0, ""B6_VI1_붕당_정치와_탕평책"": 0}"
조준,6,6,A1_V1_조선의_성립,1.0,1,B1_V1_건국,1.0,1,"{""A1_V1_조선의_성립"": 6, ""A2_V2_사림_세력의_성장"": 0, ""A3_V3_왜란과_호란의_극복"": 0, ""A4_VI1_붕당_정치와_탕평책"": 0}","{""B1_V1_건국"": 6, ""B2_V1_조선의_통치_제도"": 0, ""B3_V1_15세기_민족_문화의_발달"": 0, ""B4_V2_사림_세력의_성장"": 0, ""B5_V3_왜란과_호란의_극복"": 0, ""B6_VI1_붕당_정치와_탕평책"": 0}"
우왕,6,6,A1_V1_조선의_성립,1.0,1,B1_V1_건국,1.0,1,"{""A1_V1_조선의_성립"": 6, ""A2_V2_사림_세력의_성장"": 0, ""A3_V3_왜란과_호란의_극복"": 0, ""A4_VI1_붕당_정치와_탕평책"": 0}","{""B1_V1_건국"": 6, ""B2_V1_조선의_통치_제도"": 0, ""B3_V1_15세기_민족_문화의_발달"": 0, ""B4_V2_사림_세력의_성장"": 0, ""B5_V3_왜란과_호란의_극복"": 0, ""B6_VI1_붕당_정치와_탕평책"": 0}"
최영,6,6,A1_V1_조선의_성립,1.0,1,B1_V1_건국,1.0,1,"{""A1_V1_조선의_성립"": 6, ""A2_V2_사림_세력의_성장"": 0, ""A3_V3_왜란과_호란의_극복"": 0, ""A4_VI1_붕당_정치와_탕평책"": 0}","{""B1_V1_건국"": 6, ""B2_V1_조선의_통치_제도"": 0, ""B3_V1_15세기_민족_문화의_발달"": 0, ""B4_V2_사림_세력의_성장"": 0, ""B5_V3_왜란과_호란의_극복"": 0, ""B6_VI1_붕당_정치와_탕평책"": 0}"
과전법,6,6,A1_V1_조선의_성립,1.0,1,B1_V1_건국,1.0,1,"{""A1_V1_조선의_성립"": 6, ""A2_V2_사림_세력의_성장"": 0, ""A3_V3_왜란과_호란의_극복"": 0, ""A4_VI1_붕당_정치와_탕평책"": 0}","{""B1_V1_건국"": 6, ""B2_V1_조선의_통치_제도"": 0, ""B3_V1_15세기_민족_문화의_발달"": 0, ""B4_V2_사림_세력의_성장"": 0, ""B5_V3_왜란과_호란의_극복"": 0, ""B6_VI1_붕당_정치와_탕평책"": 0}"
정몽주,6,6,A1_V1_조선의_성립,1.0,1,B1_V1_건국,1.0,1,"{""A1_V1_조선의_성립"": 6, ""A2_V2_사림_세력의_성장"": 0, ""A3_V3_왜란과_호란의_극복"": 0, ""A4_VI1_붕당_정치와_탕평책"": 0}","{""B1_V1_건국"": 6, ""B2_V1_조선의_통치_제도"": 0, ""B3_V1_15세기_민족_문화의_발달"": 0, ""B4_V2_사림_세력의_성장"": 0, ""B5_V3_왜란과_호란의_극복"": 0, ""B6_VI1_붕당_정치와_탕평책"": 0}"
한양,11,11,A1_V1_조선의_성립,0.5455,3,B1_V1_건국,0.5455,3,"{""A1_V1_조선의_성립"": 6, ""A2_V2_사림_세력의_성장"": 1, ""A3_V3_왜란과_호란의_극복"": 4, ""A4_VI1_붕당_정치와_탕평책"": 0}","{""B1_V1_건국"": 6, ""B2_V1_조선의_통치_제도"": 0, ""B3_V1_15세기_민족_문화의_발달"": 0, ""B4_V2_사림_세력의_성장"": 1, ""B5_V3_왜란과_호란의_극복"": 4, ""B6_VI1_붕당_정치와_탕평책"": 0}"
태조,6,6,A1_V1_조선의_성립,1.0,1,B1_V1_건국,1.0,1,"{""A1_V1_조선의_성립"": 6, ""A2_V2_사림_세력의_성장"": 0, ""A3_V3_왜란과_호란의_극복"": 0, ""A4_VI1_붕당_정치와_탕평책"": 0}","{""B1_V1_건국"": 6, ""B2_V1_조선의_통치_제도"": 0, ""B3_V1_15세기_민족_문화의_발달"": 0, ""B4_V2_사림_세력의_성장"": 0, ""B5_V3_왜란과_호란의_극복"": 0, ""B6_VI1_붕당_정치와_탕평책"": 0}"
