entity,n_text_units,pos_first,pos_mode,pos_centroid,pos_first_fine,fine_matched,weight_count,graph_degree
조선,2,0,0,916.5,3,1,2,41
이성계,1,0,0,0.0,63,1,1,5
정도전,1,0,0,0.0,34,1,1,5
조준,1,0,0,0.0,39,1,1,1
우왕,1,0,0,0.0,112,1,1,1
최영,1,0,0,0.0,116,1,1,1
과전법,1,0,0,0.0,178,1,1,1
정몽주,1,0,0,0.0,211,1,1,1
한양,2,0,0,1790.2,308,1,2,1
태조,1,0,0,0.0,469,1,1,4
방원 (태종),1,0,0,0.0,1212,1,1,2
정종,1,0,0,0.0,1265,1,1,1
호패법,1,0,0,0.0,1339,1,1,2
세종,1,0,0,0.0,1429,1,1,6
집현전,1,0,0,0.0,1499,1,1,1
단종,1,0,0,0.0,1579,1,1,3
세조,1,0,0,0.0,1594,1,1,6
성삼문,1,0,0,0.0,1598,1,1,1
공신,1,0,0,0.0,13519,1,1,1
직전법,1,0,0,0.0,1641,1,1,1
함경도,1,0,0,0.0,1678,1,1,6
성종,1,0,0,0.0,1807,1,1,5
경국대전,1,0,0,0.0,1830,1,1,2
성리학,1,0,0,0.0,872,1,1,6
덕치주의,1,0,0,0.0,917,1,1,1
백성,2,0,0,1789.0,836,1,2,1
농업,1,0,0,0.0,1173,1,1,7
군사권,1,0,0,0.0,1324,1,1,0
군사력,1,0,0,0.0,1652,1,1,1
국가 기틀,1,0,0,0.0,1082,1,1,1
전국,1,0,0,0.0,340,1,1,1
문화,1,0,0,0.0,1066,1,1,1
반란,1,0,0,0.0,1691,1,1,1
사병,1,0,0,0.0,1313,1,1,0
이방원,1,1833,1833,1833.0,2039,1,1,1
명,1,1833,1833,1833.0,455,1,1,2
충청도,1,1833,1833,1833.0,2170,1,1,3
전라도,1,1833,1833,1833.0,2175,1,1,3
경상도,1,1833,1833,1833.0,2180,1,1,3
평안도,1,1833,1833,1833.0,2190,1,1,4
압록강,1,1833,1833,1833.0,2205,1,1,2
두만강,1,1833,1833,1833.0,2210,1,1,2
여진족,1,1833,1833,1833.0,2235,1,1,5
최윤덕,1,1833,1833,1833.0,2303,1,1,2
김종서,1,1833,1833,1833.0,2322,1,1,2
4군,1,1833,1833,1833.0,2346,1,1,1
6진,1,1833,1833,1833.0,2350,1,1,1
조선 수군,1,1833,1833,1833.0,1833,0,1,4
왜구,1,1833,1833,1833.0,2469,1,1,0
쓰시마 섬,1,1833,1833,1833.0,2498,1,1,1
일본,1,1833,1833,1833.0,2516,1,1,9
제포(진해),1,1833,1833,1833.0,2561,1,1,1
부산포,1,1833,1833,1833.0,2569,1,1,1
염포(울산),1,1833,1833,1833.0,2574,1,1,1
류큐,1,1833,1833,1833.0,2722,1,1,1
시암(타이),1,1833,1833,1833.0,2726,1,1,1
자와(자바),1,1833,1833,1833.0,2734,1,1,1
의정부,1,1833,1833,1833.0,2907,1,1,2
6조,1,1833,1833,1833.0,2919,1,1,2
판서,1,1833,1833,1833.0,2996,1,1,1
사간원,1,1833,1833,1833.0,3096,1,1,4
사헌부,1,1833,1833,1833.0,3114,1,1,3
홍문관,1,1833,1833,1833.0,3140,1,1,7
승정원,1,1833,1833,1833.0,3165,1,1,1
의금부,1,1833,1833,1833.0,3185,1,1,1
춘추관,1,1833,1833,1833.0,3201,1,1,1
성균관,1,1833,1833,1833.0,3213,1,1,2
한성부,1,1833,1833,1833.0,3233,1,1,1
삼사,1,1833,1833,1833.0,3263,1,1,4
전국 8도,1,1833,1833,1833.0,1833,0,1,2
군·현,1,1833,1833,1833.0,3344,1,1,2
수령,1,1833,1833,1833.0,3352,1,1,5
향리,1,1833,1833,1833.0,3463,1,1,2
6방,1,1833,1833,1833.0,3499,1,1,0
유향소(향청),1,1833,1833,1833.0,1833,0,1,1
백성들,1,1833,1833,1833.0,836,1,1,2
군량미 비축,1,1833,1833,1833.0,1987,1,1,1
대외 관계,1,1833,1833,1833.0,1926,1,1,1
군사 훈련,1,1833,1833,1833.0,1980,1,1,1
교역,1,1833,1833,1833.0,2637,1,1,2
유향소,1,3578,3578,3578.0,3606,1,1,5
향회,1,3578,3578,3578.0,3637,1,1,1
지방 양반,1,3578,3578,3578.0,3761,1,1,3
신문고,1,3578,3578,3578.0,3869,1,1,2
왕,1,3578,3578,3578.0,113,1,1,3
교육 기관,1,3578,3578,3578.0,3991,1,1,2
서당,1,3578,3578,3578.0,4067,1,1,1
향교,1,3578,3578,3578.0,4130,1,1,2
사서,1,3578,3578,3578.0,4140,1,1,1
생원과 진사,1,3578,3578,3578.0,4233,1,1,1
과거 시험,1,3578,3578,3578.0,3972,1,1,6
문과,1,3578,3578,3578.0,3126,1,1,2
무과,1,3578,3578,3578.0,4349,1,1,2
잡과,1,3578,3578,3578.0,4353,1,1,2
문음,1,3578,3578,3578.0,4495,1,1,1
천거,1,3578,3578,3578.0,4500,1,1,1
군역 제도,1,3578,3578,3578.0,9521,1,1,6
서울 5위,1,3578,3578,3578.0,3578,0,1,1
병마절도사,1,3578,3578,3578.0,4626,1,1,1
수군절도사,1,3578,3578,3578.0,4633,1,1,1
읍성,1,3578,3578,3578.0,4678,1,1,1
중앙군,1,3578,3578,3578.0,4733,1,1,1
지방군,1,3578,3578,3578.0,4702,1,1,2
잡색군,1,3578,3578,3578.0,4775,1,1,1
조운,1,3578,3578,3578.0,4946,1,1,2
강창,1,3578,3578,3578.0,4973,1,1,2
해창,1,3578,3578,3578.0,4989,1,1,2
경창,1,3578,3578,3578.0,5029,1,1,2
역원 제도,1,3578,3578,3578.0,5115,1,1,5
역,1,3578,3578,3578.0,630,1,1,2
역졸,1,3578,3578,3578.0,5161,1,1,1
마패,1,3578,3578,3578.0,5171,1,1,1
원,1,3578,3578,3578.0,1163,1,1,1
장호원,1,3578,3578,3578.0,5260,1,1,1
사리원,1,3578,3578,3578.0,5265,1,1,1
봉수 제도,1,3578,3578,3578.0,5294,1,1,0
세종 대왕,1,3578,3578,3578.0,5371,1,1,1
훈민정음,1,3578,3578,3578.0,5361,1,1,4
양인 남자,1,3578,3578,3578.0,4575,1,1,1
상민,1,3578,3578,3578.0,4441,1,1,1
중인,1,3578,3578,3578.0,4459,1,1,1
기술 교육 기관,1,3578,3578,3578.0,3578,0,1,1
군사 제도,1,3578,3578,3578.0,4529,1,1,0
지방 행정,1,3578,3578,3578.0,3312,1,1,3
지역,1,3578,3578,3578.0,2231,1,1,0
관청,1,3578,3578,3578.0,2926,1,1,1
국방비,1,3578,3578,3578.0,5080,1,1,0
사신 접대비,1,3578,3578,3578.0,5085,1,1,0
용비어천가,1,5396,5396,5396.0,5686,1,1,2
월인천강지곡,1,5396,5396,5396.0,5715,1,1,2
조선왕조실록,1,5396,5396,5396.0,5962,1,1,0
동국통감,1,5396,5396,5396.0,5975,1,1,0
고려사,1,5396,5396,5396.0,5981,1,1,0
고려사절요,1,5396,5396,5396.0,5986,1,1,0
팔도지리지,1,5396,5396,5396.0,6034,1,1,0
동국여지승람,1,5396,5396,5396.0,6041,1,1,4
노사신,1,5396,5396,5396.0,6075,1,1,1
강희맹,1,5396,5396,5396.0,6080,1,1,1
서거정,1,5396,5396,5396.0,6085,1,1,1
국조오례의,1,5396,5396,5396.0,6172,1,1,0
삼강행실도,1,5396,5396,5396.0,6179,1,1,0
측우기,1,5396,5396,5396.0,6238,1,1,0
농사직설,2,5396,5396,6284.0,6312,1,2,1
금속활자,1,5396,5396,5396.0,5396,0,1,0
혼천의,1,5396,5396,5396.0,6388,1,1,0
앙부일구,1,5396,5396,5396.0,6495,1,1,0
자격루,1,5396,5396,5396.0,6539,1,1,0
인지의,1,5396,5396,5396.0,6425,1,1,0
한문학,1,5396,5396,5396.0,6585,1,1,1
동문선,1,5396,5396,5396.0,6681,1,1,0
사림,2,5396,7172,6580.0,6732,1,2,17
훈구 세력,2,5396,5396,6284.0,6852,1,2,4
길재,1,5396,5396,5396.0,6911,1,1,1
김종직,1,5396,5396,5396.0,6984,1,1,2
조광조,1,5396,5396,5396.0,7287,1,1,3
무오사화,1,5396,5396,5396.0,7223,1,1,2
국문학,1,5396,5396,5396.0,5649,1,1,3
한문,1,5396,5396,5396.0,4093,1,1,0
양반,1,5396,5396,5396.0,774,1,1,6
조선 초기,1,5396,5396,5396.0,1919,1,1,0
중앙 정치 무대,1,5396,5396,5396.0,5396,0,1,2
공론 정치,1,5396,5396,5396.0,7080,1,1,1
유교 정치,1,5396,5396,5396.0,1546,1,1,2
조선 전기,1,5396,5396,5396.0,6196,1,1,0
중종반정,1,5396,5396,5396.0,7268,1,1,2
연산군,1,7172,7172,7172.0,7205,1,1,2
사화,1,7172,7172,7172.0,7225,1,1,1
왕의 외척,1,7172,7172,7172.0,7404,1,1,1
붕당,1,7172,7172,7172.0,7598,1,1,7
동인,1,7172,7172,7172.0,7756,1,1,1
서인,1,7172,7172,7172.0,7760,1,1,5
이조 전랑,1,7172,7172,7172.0,7729,1,1,3
목화 재배,1,7172,7172,7172.0,7172,0,1,1
과수 및 약초 재배,1,7172,7172,7172.0,7172,0,1,1
중국 논농사 기술,1,7172,7172,7172.0,7172,0,1,2
모내기법,1,7172,7172,7172.0,8406,1,1,1
중소 지주,1,7172,7172,7172.0,8427,1,1,1
장시,1,7172,7172,7172.0,8485,1,1,1
신진 사대부,1,7172,7172,7172.0,44,1,1,1
향약,2,7172,7172,7172.0,7576,1,2,3
향약 4대 덕목,1,7172,7172,7172.0,7172,0,1,1
이황,4,7172,8951,9510.67,9028,1,4,3
이이,4,7172,7172,9790.5,9032,1,4,2
불교,1,7172,7172,7172.0,9056,1,1,1
계,1,7172,7172,7172.0,65,1,1,1
인사권,1,7172,7172,7172.0,7721,1,1,2
서원,1,7172,7172,7172.0,7572,1,1,3
조선 왕조,1,8951,8951,8951.0,733,1,1,2
소학,1,8951,8951,8951.0,4136,1,1,1
주세붕,2,8951,8951,8951.0,9253,1,2,1
안향,2,8951,8951,8951.0,9258,1,2,0
백운동 서원,2,8951,8951,8951.0,9287,1,2,2
소수 서원,2,8951,8951,8951.0,9320,1,2,2
중국 대륙,1,8951,8951,8951.0,9579,1,1,1
도요토미 히데요시,1,8951,8951,8951.0,9617,1,1,2
포르투갈 상인,1,8951,8951,8951.0,9854,1,1,2
조총,1,8951,8951,8951.0,9746,1,1,2
임진왜란,2,8951,8951,8951.0,9838,1,2,16
부산진,1,8951,8951,8951.0,9906,1,1,3
동래성,1,8951,8951,8951.0,9911,1,1,3
정발,1,8951,8951,8951.0,9925,1,1,1
송상현,1,8951,8951,8951.0,9929,1,1,1
조선 정부,1,8951,8951,8951.0,9994,1,1,1
충주 방어선,1,8951,8951,8951.0,8951,0,1,1
선조,1,8951,8951,8951.0,7606,1,1,1
의주,2,8951,8951,8951.0,10066,1,2,1
평양,1,8951,8951,8951.0,10081,1,1,1
함경도 지방,1,8951,8951,8951.0,1678,1,1,1
한반도,1,8951,8951,8951.0,323,1,1,0
이순신,2,8951,8951,8951.0,10178,1,2,7
옥포 해전,1,8951,8951,8951.0,8951,0,1,1
거북선,1,8951,8951,8951.0,10211,1,1,1
사천 해전,1,8951,8951,8951.0,8951,0,1,1
당포 해전,1,8951,8951,8951.0,8951,0,1,1
한산도 해전,1,8951,8951,8951.0,8951,0,1,1
전라도 곡창 지대,1,8951,8951,8951.0,10295,1,1,1
황해안,1,8951,8951,8951.0,10306,1,1,1
의병,2,8951,8951,8951.0,10131,1,2,11
곽재우,2,8951,8951,8951.0,10455,1,2,1
조헌,2,8951,8951,8951.0,10469,1,2,1
고경명,2,8951,8951,8951.0,10473,1,2,1
정문부,2,8951,8951,8951.0,10478,1,2,1
유정 (사명대사),2,8951,8951,8951.0,10483,1,2,1
농민,1,8951,8951,8951.0,8852,1,1,1
전직 관료,1,8951,8951,8951.0,10546,1,1,1
유학자,1,8951,8951,8951.0,6924,1,1,1
승려,1,8951,8951,8951.0,10558,1,1,1
명의 원군,1,8951,8951,8951.0,10609,1,1,3
김시민,2,8951,8951,8951.0,10647,1,2,1
진주,2,8951,8951,8951.0,10652,1,2,1
권율,2,8951,8951,8951.0,10658,1,2,1
행주 산성,1,8951,8951,8951.0,10662,1,1,1
왜군,2,8951,8951,8951.0,9498,1,2,8
정유재란,2,8951,8951,8951.0,10772,1,2,3
충과 효,1,8951,8951,8951.0,9093,1,1,0
성리학 윤리 교과서,1,8951,8951,8951.0,8951,0,1,1
국가,1,8951,8951,8951.0,1082,1,1,1
국방력,1,8951,8951,8951.0,4548,1,1,1
동아시아 국제 정세,1,8951,8951,8951.0,8951,0,1,1
중국,1,8951,8951,8951.0,8339,1,1,1
명나라,1,8951,8951,8951.0,8951,0,1,2
명나라 원군,1,8951,8951,8951.0,8951,0,1,0
군사,1,8951,8951,8951.0,1220,1,1,0
향토 방위,1,8951,8951,8951.0,8951,0,1,1
병력,1,8951,8951,8951.0,4804,1,1,1
포르투갈,1,8951,8951,8951.0,9854,1,1,1
철포,1,8951,8951,8951.0,9874,1,1,2
누르하치,3,10663,10663,10663.0,12184,1,3,1
사명대사 유정,3,10663,10663,10663.0,10663,0,3,2
도쿠가와 막부,1,10663,10663,10663.0,10663,0,1,2
통신사,1,10663,10663,10663.0,11514,1,1,4
경상도 해안 지방,3,10663,10663,10663.0,10686,1,3,1
조선인 포로,2,10663,10663,10663.0,11589,1,2,1
불국사,3,10663,10663,10663.0,11295,1,3,1
사고,3,10663,10663,10663.0,8479,1,3,1
광해군,3,10663,10663,10663.0,12025,1,3,8
에도(도쿄),3,10663,10663,10663.0,11816,1,3,1
허준,1,12398,12398,12398.0,12572,1,1,2
동의보감,1,12398,12398,12398.0,12581,1,1,2
후금,1,12398,12398,12398.0,12358,1,1,2
청,1,12398,12398,12398.0,2171,1,1,3
강홍립,1,12398,12398,12398.0,12960,1,1,1
인조,1,12398,12398,12398.0,13202,1,1,2
이괄,1,12398,12398,12398.0,13328,1,1,1
병자호란,1,12398,12398,12398.0,13236,1,1,2
정묘호란,1,12398,12398,12398.0,13387,1,1,1
효종,1,12398,12398,12398.0,13931,1,1,1
북벌 운동,1,12398,12398,12398.0,13242,1,1,4
송시열,1,12398,12398,12398.0,13966,1,1,1
이완,1,12398,12398,12398.0,13971,1,1,1
남한산성,1,12398,12398,12398.0,13703,1,1,1
북한산성,1,12398,12398,12398.0,13987,1,1,1
러시아,1,12398,12398,12398.0,14243,1,1,2
영창 대군,1,12398,12398,12398.0,13124,1,1,1
조총 부대,1,14088,14088,14088.0,14301,1,1,1
나선 정벌,1,14088,14088,14088.0,14327,1,1,1
붕당 정치,1,14088,14088,14088.0,8030,1,1,9
삼사 관리,1,14088,14088,14088.0,14088,0,1,1
북인,1,14088,14088,14088.0,13104,1,1,2
남인,1,14088,14088,14088.0,14770,1,1,3
비변사,1,14088,14088,14088.0,14969,1,1,2
현종,1,14088,14088,14088.0,15168,1,1,1
예송,1,14088,14088,14088.0,15179,1,1,1
숙종,1,14088,14088,14088.0,15183,1,1,1
환국,1,14088,14088,14088.0,15195,1,1,1
노론,1,14088,14088,14088.0,15499,1,1,4
소론,1,14088,14088,14088.0,15503,1,1,2
영조,1,14088,14088,14088.0,15825,1,1,12
탕평책,1,14088,14088,14088.0,14367,1,1,2
조식,1,14088,14088,14088.0,14748,1,1,1
중종,1,14088,14088,14088.0,7268,1,1,1
탕평비,1,15883,15883,15883.0,16268,1,1,1
정조,1,15883,15883,15883.0,16596,1,1,17
규장각,1,15883,15883,15883.0,16600,1,1,1
장용영,1,15883,15883,15883.0,16864,1,1,1
수원 화성,1,15883,15883,15883.0,15883,0,1,1
사도 세자,1,15883,15883,15883.0,17327,1,1,1
실학,1,15883,15883,15883.0,17426,1,1,7
속대전,1,15883,15883,15883.0,16555,1,1,1
속오례의,1,15883,15883,15883.0,16560,1,1,1
동국문헌비고,1,15883,15883,15883.0,16566,1,1,1
대전통편,1,15883,15883,15883.0,17149,1,1,1
동문휘고,1,15883,15883,15883.0,17155,1,1,1
탁지지,1,15883,15883,15883.0,17161,1,1,1
규장전운,1,15883,15883,15883.0,17166,1,1,1
산업 진흥,1,15883,15883,15883.0,16401,1,1,1
농업 발전,1,15883,15883,15883.0,15883,0,1,1
상업 자유화,1,15883,15883,15883.0,15883,0,1,1
광산 개발,1,15883,15883,15883.0,17044,1,1,1
서울 인구 증가,1,15883,15883,15883.0,15883,0,1,1
한강 포구 증가,1,15883,15883,15883.0,15883,0,1,1
서얼 차별 완화,1,15883,15883,15883.0,15883,0,1,1
노비 차별 완화,1,15883,15883,15883.0,15883,0,1,1
계유정난,1,15883,15883,15883.0,15883,0,1,1
수원읍성,1,15883,15883,15883.0,15883,0,1,2
화성부,1,15883,15883,15883.0,17390,1,1,1
조선 후기,1,17643,17643,17643.0,14712,1,1,1
농촌,1,17643,17643,17643.0,8245,1,1,1
도시,1,17643,17643,17643.0,17407,1,1,2
대상인,1,17643,17643,17643.0,18010,1,1,1
영세 상인,1,17643,17643,17643.0,18041,1,1,1
실학자,1,17643,17643,17643.0,18174,1,1,4
이수광,1,17643,17643,17643.0,18301,1,1,1
김육,1,17643,17643,17643.0,18306,1,1,2
대동법,1,17643,17643,17643.0,18362,1,1,1
중농 학파,1,17643,17643,17643.0,18485,1,1,5
중상 학파,1,17643,17643,17643.0,18492,1,1,8
